county,fips,candidate,votes
Adair,19001,Hillary Clinton,168
Adair,19001,Bernie Sanders,132
Adair,19001,Martin O'Malley,0
Adams,19003,Hillary Clinton,113
Adams,19003,Bernie Sanders,86
Adams,19003,Martin O'Malley,0
Allamakee,19005,Hillary Clinton,304
Allamakee,19005,Bernie Sanders,296
Allamakee,19005,Martin O'Malley,0
Appanoose,19007,Hillary Clinton,273
Appanoose,19007,Bernie Sanders,226
Appanoose,19007,Martin O'Malley,0
Audubon,19009,Hillary Clinton,187
Audubon,19009,Bernie Sanders,112
Audubon,19009,Martin O'Malley,0
Benton,19011,Hillary Clinton,672
Benton,19011,Bernie Sanders,528
Benton,19011,Martin O'Malley,0
Black Hawk,19013,Hillary Clinton,3220
Black Hawk,19013,Bernie Sanders,3647
Black Hawk,19013,Martin O'Malley,16
Boone,19015,Hillary Clinton,585
Boone,19015,Bernie Sanders,715
Boone,19015,Martin O'Malley,0
Bremer,19017,Hillary Clinton,640
Bremer,19017,Bernie Sanders,544
Bremer,19017,Martin O'Malley,16
Buchanan,19019,Hillary Clinton,525
Buchanan,19019,Bernie Sanders,475
Buchanan,19019,Martin O'Malley,0
Buena Vista,19021,Hillary Clinton,291
Buena Vista,19021,Bernie Sanders,291
Buena Vista,19021,Martin O'Malley,17
Butler,19023,Hillary Clinton,250
Butler,19023,Bernie Sanders,350
Butler,19023,Martin O'Malley,0
Calhoun,19025,Hillary Clinton,200
Calhoun,19025,Bernie Sanders,200
Calhoun,19025,Martin O'Malley,0
Carroll,19027,Hillary Clinton,504
Carroll,19027,Bernie Sanders,296
Carroll,19027,Martin O'Malley,0
Cass,19029,Hillary Clinton,300
Cass,19029,Bernie Sanders,190
Cass,19029,Martin O'Malley,10
Cedar,19031,Hillary Clinton,354
Cedar,19031,Bernie Sanders,445
Cedar,19031,Martin O'Malley,0
Cerro Gordo,19033,Hillary Clinton,1091
Cerro Gordo,19033,Bernie Sanders,1108
Cerro Gordo,19033,Martin O'Malley,0
Cherokee,19035,Hillary Clinton,181
Cherokee,19035,Bernie Sanders,218
Cherokee,19035,Martin O'Malley,0
Chickasaw,19037,Hillary Clinton,360
Chickasaw,19037,Bernie Sanders,233
Chickasaw,19037,Martin O'Malley,6
Clarke,19039,Hillary Clinton,232
Clarke,19039,Bernie Sanders,168
Clarke,19039,Martin O'Malley,0
Clay,19041,Hillary Clinton,296
Clay,19041,Bernie Sanders,303
Clay,19041,Martin O'Malley,0
Clayton,19043,Hillary Clinton,392
Clayton,19043,Bernie Sanders,408
Clayton,19043,Martin O'Malley,0
Clinton,19045,Hillary Clinton,1165
Clinton,19045,Bernie Sanders,1234
Clinton,19045,Martin O'Malley,0
Crawford,19047,Hillary Clinton,225
Crawford,19047,Bernie Sanders,208
Crawford,19047,Martin O'Malley,66
Dallas,19049,Hillary Clinton,1667
Dallas,19049,Bernie Sanders,1208
Dallas,19049,Martin O'Malley,24
Davis,19051,Hillary Clinton,174
Davis,19051,Bernie Sanders,126
Davis,19051,Martin O'Malley,0
Decatur,19053,Hillary Clinton,150
Decatur,19053,Bernie Sanders,141
Decatur,19053,Martin O'Malley,4
Delaware,19055,Hillary Clinton,440
Delaware,19055,Bernie Sanders,344
