county,fips,candidate,votes
Adair,19001,Ted Cruz,104
Adair,19001,Donald Trump,104
Adair,19001,Marco Rubio,80
Adair,19001,Ben Carson,61
Adair,19001,Carly Fiorina,16
Adair,19001,Rand Paul,12
Adair,19001,Mike Huckabee,11
Adair,19001,Rick Santorum,7
Adair,19001,Jeb Bush,4
Adair,19001,Chris Christie,4
Adair,19001,John Kasich,2
Adams,19003,Ted Cruz,81
Adams,19003,Donald Trump,68
Adams,19003,Marco Rubio,47
Adams,19003,Ben Carson,30
Adams,19003,Carly Fiorina,16
Adams,19003,John Kasich,10
Adams,19003,Rand Paul,8
Adams,19003,Jeb Bush,7
Adams,19003,Mike Huckabee,3
Adams,19003,Chris Christie,1
Adams,19003,Rick Santorum,1
Allamakee,19005,Ted Cruz,183
Allamakee,19005,Donald Trump,193
Allamakee,19005,Marco Rubio,131
Allamakee,19005,Ben Carson,77
Allamakee,19005,Carly Fiorina,54
Allamakee,19005,Rand Paul,16
Allamakee,19005,Jeb Bush,11
Allamakee,19005,Mike Huckabee,9
Allamakee,19005,Rick Santorum,6
Allamakee,19005,Chris Christie,4
Allamakee,19005,John Kasich,2
Appanoose,19007,Ted Cruz,269
Appanoose,19007,Donald Trump,292
Appanoose,19007,Ben Carson,92
Appanoose,19007,Marco Rubio,90
Appanoose,19007,Mike Huckabee,44
Appanoose,19007,Rand Paul,20
Appanoose,19007,Jeb Bush,13
Appanoose,19007,Carly Fiorina,9
Appanoose,19007,Chris Christie,4
Appanoose,19007,John Kasich,4
Appanoose,19007,Rick Santorum,2
Audubon,19009,Ted Cruz,135
Audubon,19009,Donald Trump,99
Audubon,19009,Marco Rubio,56
Audubon,19009,Ben Carson,33
Audubon,19009,Mike Huckabee,20
Audubon,19009,Rand Paul,11
Audubon,19009,Jeb Bush,10
Audubon,19009,John Kasich,5
Audubon,19009,Carly Fiorina,4
Audubon,19009,Chris Christie,1
Audubon,19009,Rick Santorum,0
Benton,19011,Ted Cruz,596
Benton,19011,Donald Trump,410
Benton,19011,Marco Rubio,246
Benton,19011,Ben Carson,171
Benton,19011,Rand Paul,72
Benton,19011,Carly Fiorina,35
Benton,19011,Mike Huckabee,34
Benton,19011,John Kasich,27
Benton,19011,Chris Christie,23
Benton,19011,Jeb Bush,11
Benton,19011,Rick Santorum,9
Black Hawk,19013,Ted Cruz,1585
Black Hawk,19013,Marco Rubio,1551
Black Hawk,19013,Donald Trump,1360
Black Hawk,19013,Ben Carson,497
Black Hawk,19013,Rand Paul,357
Black Hawk,19013,Jeb Bush,178
Black Hawk,19013,Carly Fiorina,131
Black Hawk,19013,Chris Christie,104
Black Hawk,19013,Mike Huckabee,72
Black Hawk,19013,John Kasich,53
Black Hawk,19013,Rick Santorum,20
Boone,19015,Ted Cruz,566
Boone,19015,Donald Trump,412
Boone,19015,Marco Rubio,320
Boone,19015,Ben Carson,177
Boone,19015,Rand Paul,96
Boone,19015,Mike Huckabee,67
Boone,19015,Chris Christie,40
Boone,19015,Jeb Bush,31
Boone,19015,John Kasich,22
Boone,19015,Rick Santorum,19
Boone,19015,Carly Fiorina,7
Bremer,19017,Ted Cruz,408
Bremer,19017,Marco Rubio,389
Bremer,19017,Donald Trump,347
Bremer,19017,Ben Carson,134
Bremer,19017,John Kasich,50
Bremer,19017,Rand Paul,46
Bremer,19017,Jeb Bush,38
Bremer,19017,Carly Fiorina,24
Bremer,19017,Mike Huckabee,19
Bremer,19017,Rick Santorum,19
Bremer,19017,Chris Christie,16
Buchanan,19019,Ted Cruz,308
Buchanan,19019,Donald Trump,217
Buchanan,19019,Marco Rubio,110
Buchanan,19019,Ben Carson,82
Buchanan,19019,Rand Paul,35
Buchanan,19019,Carly Fiorina,31
Buchanan,19019,Chris Christie,15
Buchanan,19019,Mike Huckabee,15
Buchanan,19019,Jeb Bush,14
Buchanan,19019,John Kasich,6
Buchanan,19019,Rick Santorum,4
Buena Vista,19021,Ted Cruz,309
Buena Vista,19021,Donald Trump,251
Buena Vista,19021,Marco Rubio,221
Buena Vista,19021,Ben Carson,97
Buena Vista,19021,Rand Paul,26
Buena Vista,19021,Jeb Bush,23
Buena Vista,19021,Rick Santorum,22
Buena Vista,19021,Carly Fiorina,20
Buena Vista,19021,Mike Huckabee,18
Buena Vista,19021,John Kasich,15
Buena Vista,19021,Chris Christie,7
Butler,19023,Ted Cruz,332
Butler,19023,Donald Trump,220
Butler,19023,Marco Rubio,145
Butler,19023,Ben Carson,108
Butler,19023,Rand Paul,32
Butler,19023,Jeb Bush,24
Butler,19023,Mike Huckabee,21
Butler,19023,Carly Fiorina,18
Butler,19023,Chris Christie,6
Butler,19023,John Kasich,3
Butler,19023,Rick Santorum,1
Calhoun,19025,Ted Cruz,159
Calhoun,19025,Donald Trump,136
Calhoun,19025,Marco Rubio,121
Calhoun,19025,Ben Carson,37
Calhoun,19025,Mike Huckabee,35
Calhoun,19025,Rand Paul,20
Calhoun,19025,Rick Santorum,19
Calhoun,19025,Jeb Bush,10
Calhoun,19025,Carly Fiorina,8
Calhoun,19025,John Kasich,7
Calhoun,19025,Chris Christie,5
Carroll,19027,Ted Cruz,256
Carroll,19027,Donald Trump,298
Carroll,19027,Marco Rubio,230
Carroll,19027,Ben Carson,69
Carroll,19027,Jeb Bush,60
Carroll,19027,Carly Fiorina,44
Carroll,19027,Rand Paul,31
Carroll,19027,John Kasich,14
Carroll,19027,Mike Huckabee,11
Carroll,19027,Chris Christie,7
Carroll,19027,Rick Santorum,5
Cass,19029,Ted Cruz,225
Cass,19029,Donald Trump,262
Cass,19029,Marco Rubio,176
Cass,19029,Ben Carson,142
Cass,19029,Jeb Bush,34
Cass,19029,John Kasich,21
Cass,19029,Mike Huckabee,17
Cass,19029,Chris Christie,15
Cass,19029,Rick Santorum,13
Cass,19029,Carly Fiorina,10
Cass,19029,Rand Paul,9
Cedar,19031,Ted Cruz,310
Cedar,19031,Donald Trump,281
Cedar,19031,Marco Rubio,240
Cedar,19031,Ben Carson,100
Cedar,19031,Rand Paul,43
Cedar,19031,John Kasich,26
Cedar,19031,Carly Fiorina,19
Cedar,19031,Jeb Bush,17
Cedar,19031,Mike Huckabee,13
Cedar,19031,Chris Christie,9
Cedar,19031,Rick Santorum,6
Cerro Gordo,19033,Ted Cruz,655
Cerro Gordo,19033,Donald Trump,597
Cerro Gordo,19033,Marco Rubio,446
Cerro Gordo,19033,Ben Carson,184
Cerro Gordo,19033,Jeb Bush,119
Cerro Gordo,19033,Chris Christie,114
Cerro Gordo,19033,Rand Paul,78
Cerro Gordo,19033,Carly Fiorina,42
Cerro Gordo,19033,Mike Huckabee,39
Cerro Gordo,19033,John Kasich,29
Cerro Gordo,19033,Rick Santorum,18
Cherokee,19035,Ted Cruz,157
Cherokee,19035,Donald Trump,248
Cherokee,19035,Marco Rubio,243
Cherokee,19035,Ben Carson,119
Cherokee,19035,Mike Huckabee,17
Cherokee,19035,Jeb Bush,16
Cherokee,19035,Rand Paul,12
Cherokee,19035,Carly Fiorina,11
Cherokee,19035,Chris Christie,5
Cherokee,19035,John Kasich,5
Cherokee,19035,Rick Santorum,5
Chickasaw,19037,Ted Cruz,161
Chickasaw,19037,Donald Trump,166
Chickasaw,19037,Marco Rubio,143
Chickasaw,19037,Ben Carson,57
Chickasaw,19037,Carly Fiorina,27
Chickasaw,19037,Rand Paul,18
Chickasaw,19037,Jeb Bush,11
Chickasaw,19037,Mike Huckabee,6
Chickasaw,19037,Rick Santorum,6
Chickasaw,19037,John Kasich,3
Chickasaw,19037,Chris Christie,2
Clarke,19039,Ted Cruz,155
Clarke,19039,Donald Trump,202
Clarke,19039,Marco Rubio,88
Clarke,19039,Ben Carson,56
Clarke,19039,Rand Paul,15
Clarke,19039,Jeb Bush,12
Clarke,19039,Chris Christie,9
Clarke,19039,Carly Fiorina,9
Clarke,19039,Mike Huckabee,8
Clarke,19039,John Kasich,3
Clarke,19039,Rick Santorum,0
Clay,19041,Ted Cruz,291
Clay,19041,Donald Trump,292
Clay,19041,Ben Carson,155
Clay,19041,Marco Rubio,149
Clay,19041,John Kasich,31
Clay,19041,Rand Paul,28
Clay,19041,Mike Huckabee,25
Clay,19041,Jeb Bush,16
Clay,19041,Chris Christie,15
Clay,19041,Rick Santorum,14
Clay,19041,Carly Fiorina,8
Clayton,19043,Ted Cruz,298
Clayton,19043,Donald Trump,249
Clayton,19043,Marco Rubio,109
Clayton,19043,Ben Carson,67
Clayton,19043,Rand Paul,29
Clayton,19043,Jeb Bush,26
Clayton,19043,Carly Fiorina,26
Clayton,19043,Mike Huckabee,17
Clayton,19043,John Kasich,11
Clayton,19043,Chris Christie,9
Clayton,19043,Rick Santorum,5
Clinton,19045,Ted Cruz,621
Clinton,19045,Donald Trump,709
Clinton,19045,Marco Rubio,459
Clinton,19045,Ben Carson,159
Clinton,19045,Jeb Bush,106
Clinton,19045,Rand Paul,94
Clinton,19045,Carly Fiorina,70
Clinton,19045,John Kasich,41
Clinton,19045,Chris Christie,26
Clinton,19045,Mike Huckabee,15
Clinton,19045,Rick Santorum,6
Crawford,19047,Ted Cruz,226
Crawford,19047,Donald Trump,214
Crawford,19047,Marco Rubio,114
Crawford,19047,Ben Carson,63
Crawford,19047,Carly Fiorina,24
Crawford,19047,Chris Christie,14
Crawford,19047,Jeb Bush,12
Crawford,19047,Rand Paul,12
Crawford,19047,John Kasich,8
Crawford,19047,Mike Huckabee,7
Crawford,19047,Rick Santorum,5
Dallas,19049,Ted Cruz,1691
Dallas,19049,Marco Rubio,2469
Dallas,19049,Donald Trump,1510
Dallas,19049,Ben Carson,489
Dallas,19049,Rand Paul,276
Dallas,19049,Chris Christie,214
Dallas,19049,Jeb Bush,213
Dallas,19049,John Kasich,167
Dallas,19049,Carly Fiorina,133
Dallas,19049,Mike Huckabee,61
Dallas,19049,Rick Santorum,58
Davis,19051,Ted Cruz,168
Davis,19051,Donald Trump,205
Davis,19051,Ben Carson,38
Davis,19051,Mike Huckabee,38
Davis,19051,Marco Rubio,37
Davis,19051,Rand Paul,25
Davis,19051,Jeb Bush,10
Davis,19051,Chris Christie,8
Davis,19051,Carly Fiorina,1
Davis,19051,John Kasich,1
Davis,19051,Rick Santorum,0
Decatur,19053,Ted Cruz,173
Decatur,19053,Donald Trump,127
Decatur,19053,Ben Carson,80
Decatur,19053,Marco Rubio,73
Decatur,19053,Rand Paul,19
Decatur,19053,Mike Huckabee,6
Decatur,19053,Jeb Bush,5
Decatur,19053,Chris Christie,4
Decatur,19053,John Kasich,4
Decatur,19053,Rick Santorum,4
Decatur,19053,Carly Fiorina,2
Delaware,19055,Ted Cruz,317
Delaware,19055,Donald Trump,198
Delaware,19055,Marco Rubio,172
Delaware,19055,Ben Carson,92
Delaware,19055,Carly Fiorina,52
Delaware,19055,Rand Paul,27
Delaware,19055,Jeb Bush,19
Delaware,19055,Mike Huckabee,7
Delaware,19055,Chris Christie,5
Delaware,19055,Rick Santorum,3
Delaware,19055,John Kasich,2
Des Moines,19057,Ted Cruz,613
Des Moines,19057,Donald Trump,659
